Frame,DeltaTime,Time,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
17483308,0.0102679,27.8548576999456,VALID,-0.0487535819411278,0.00723876757547259,0.998784601688385,0,2,1,VALID,-0.0454690046608448,-0.00141841464210302,0.998964726924896,-0.0324634984135628,0.168673828244209,VALID,-0.0520339757204056,0.0158953294157982,0.998518824577332,0.0324634984135628,0.165169775485992
17483309,0.0148143,27.8696720004082,VALID,-0.048833891749382,0.00735462922602892,0.998779833316803,0,2,1,VALID,-0.045696783810854,-0.0012490653898567,0.998954594135284,-0.0324634984135628,0.168168425559998,VALID,-0.0519668981432915,0.0159577075392008,0.998521327972412,0.0324634984135628,0.165034279227257
17483311,0.0138167,27.8834887007251,VALID,-0.0491269789636135,0.00740873301401734,0.998765051364899,0,2,1,VALID,-0.0460348092019558,-0.00103833398316056,0.998939275741577,-0.0324634984135628,0.167845025658607,VALID,-0.0522151701152325,0.0158552005887032,0.998510003089905,0.0324634984135628,0.163571625947952
17483313,0.0172119,27.9007005998865,VALID,-0.0493364259600639,0.00756320031359792,0.998753607273102,0,2,1,VALID,-0.0464135557413101,-0.000848748837597668,0.998921930789948,-0.0324634984135628,0.167400524020195,VALID,-0.0522553808987141,0.0159745495766401,0.99850594997406,0.0324634984135628,0.164433524012566
17483315,0.0173099,27.9180105002597,VALID,-0.0495592765510082,0.00774377584457397,0.998741149902344,0,2,1,VALID,-0.0466679073870182,-0.000696367875207216,0.998910188674927,-0.0324634984135628,0.16724357008934,VALID,-0.0524466969072819,0.016183303669095,0.99849259853363,0.0324634984135628,0.163480579853058
17483316,0.0173017,27.9353121994063,VALID,-0.0496898703277111,0.00787985231727362,0.998733639717102,0,2,1,VALID,-0.0468308702111244,-0.000535308383405209,0.998902678489685,-0.0324634984135628,0.166601270437241,VALID,-0.0525449439883232,0.01629438996315,0.998485624790192,0.0324634984135628,0.163285434246063
17483318,0.0175219,27.9528340985999,VALID,-0.0499014481902123,0.00818905048072338,0.998720586299896,0,2,1,VALID,-0.0471263527870178,-0.000219936118810438,0.998888909816742,-0.0324634984135628,0.166206121444702,VALID,-0.0526726320385933,0.016597393900156,0.998473882675171,0.0324634984135628,0.163038834929466
17483320,0.0208908,27.9737248988822,VALID,-0.050069484859705,0.00829041376709938,0.998711347579956,0,2,1,VALID,-0.0472316667437553,7.45036304579116E-05,0.998883962631226,-0.0324634984135628,0.165835916996002,VALID,-0.0529035180807114,0.0165056977421045,0.998463213443756,0.0324634984135628,0.162055611610413
17483322,0.0150788,27.9888036986813,VALID,-0.0502040348947048,0.0083425622433424,0.998704135417938,0,2,1,VALID,-0.0472662858664989,0.000277187617029995,0.998882293701172,-0.0324634984135628,0.165781199932098,VALID,-0.053138080984354,0.0164073221385479,0.998452365398407,0.0324634984135628,0.161769300699234
17483324,0.0190783,28.0078819980845,VALID,-0.0504268854856491,0.00848314724862576,0.998691737651825,0,2,1,VALID,-0.0473215989768505,0.000631942006293684,0.998879492282867,-0.0324634984135628,0.165128409862518,VALID,-0.0535285733640194,0.0163337476551533,0.998432695865631,0.0324634984135628,0.160762518644333
17483326,0.018285,28.0261669987813,VALID,-0.0505278818309307,0.00851900037378073,0.99868631362915,0,2,1,VALID,-0.0472979843616486,0.000951293215621263,0.998880386352539,-0.0324634984135628,0.164899826049805,VALID,-0.0537543557584286,0.0160861294716597,0.998424589633942,0.0324634984135628,0.161513656377792
17483328,0.0197681,28.0459350990132,VALID,-0.0504093021154404,0.00858358759433031,0.998691737651825,0,2,1,VALID,-0.0471114739775658,0.00127839576452971,0.998888790607452,-0.0324634984135628,0.164088323712349,VALID,-0.053703885525465,0.0158882271498442,0.998430490493774,0.0324634984135628,0.161037608981133
17483330,0.0199198,28.0658548986539,VALID,-0.0504092983901501,0.008716881275177,0.998690605163574,0,2,1,VALID,-0.0469757281243801,0.00167120189871639,0.99889463186264,-0.0324634984135628,0.163447827100754,VALID,-0.053839772939682,0.015762023627758,0.998425185680389,0.0324634984135628,0.160429835319519
17483332,0.0205059,28.0863607982174,VALID,-0.0466309823095798,0.00853640865534544,0.998875737190247,0,2,1,VALID,-0.0432247407734394,0.001745137386024,0.999063849449158,-0.0324634984135628,0.162002831697464,VALID,-0.0500345304608345,0.0153271863237023,0.998629868030548,0.0324634984135628,0.161951929330826
17483334,0.0214253,28.1077860975638,VALID,-0.0177655145525932,0.00805163942277431,0.999809741973877,0,2,0.75895619392395,VALID,-0.0147140240296721,0.00190954410936683,0.9998899102211,-0.0324634984135628,0.160969391465187,VALID,-0.0208161678165197,0.0141933560371399,0.999682545661926,0.0324634984135628,0.161344081163406
17483336,0.0205469,28.1283329976723,VALID,0.00381882046349347,0.00796290021389723,0.999961018562317,0,2,0.455120533704758,VALID,0.00658094743266702,0.00254088640213013,0.999975144863129,-0.0324634984135628,0.160969391465187,VALID,0.0010565520497039,0.0133846187964082,0.9999098777771,0.0324634984135628,0.16075199842453
17483338,0.0223146,28.1506475983188,VALID,0.0166863687336445,0.00747275818139315,0.99983286857605,0,2,0.274412453174591,VALID,0.0207903906702995,0.0024141815956682,0.99978095293045,-0.0324634984135628,0.161077886819839,VALID,0.0125816389918327,0.0125310178846121,0.999842345714569,0.0324634984135628,0.160317078232765
