Frame,DeltaTime,Time,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
204886218,0.0140431,64.8266837936826,VALID,-0.0334021709859371,-0.0107354437932372,0.999384343624115,0,2,1,VALID,-0.0338326171040535,-0.0171643104404211,0.999280095100403,-0.0328009985387325,0.157114237546921,VALID,-0.0329703390598297,-0.00430613057687879,0.999447047710419,0.0328009985387325,0.171525150537491
204886220,0.0180597,64.8447434944101,VALID,-0.0334854796528816,-0.010371396318078,0.999385416507721,0,2,1,VALID,-0.0337903648614883,-0.0162687450647354,0.999296545982361,-0.0328009985387325,0.157973960042,VALID,-0.0331794321537018,-0.00447368621826172,0.999439418315887,0.0328009985387325,0.171158418059349
204886221,0.0084834,64.8532268940471,VALID,-0.0334193557500839,-0.0103695224970579,0.999387621879578,0,2,1,VALID,-0.0337775461375713,-0.0161195248365402,0.999299347400665,-0.0328009985387325,0.158665403723717,VALID,-0.0330600552260876,-0.00461917463690043,0.99944269657135,0.0328009985387325,0.171606078743935
204886223,0.0184576,64.871684494894,VALID,-0.03342030569911,-0.010465806350112,0.999386608600616,0,2,1,VALID,-0.0341832637786865,-0.016113368794322,0.999285697937012,-0.0328009985387325,0.158852890133858,VALID,-0.0326562598347664,-0.00481790350750089,0.999455034732819,0.0328009985387325,0.171422973275185
204886225,0.0158656,64.8875500946306,VALID,-0.0333687998354435,-0.0101115833967924,0.999391973018646,0,2,1,VALID,-0.03391457721591,-0.0153256515040994,0.999307215213776,-0.0328009985387325,0.159100204706192,VALID,-0.0328221060335636,-0.00489723775535822,0.999449193477631,0.0328009985387325,0.171319782733917
204886227,0.0182395,64.9057895946316,VALID,-0.0335488170385361,-0.0101619130000472,0.999385416507721,0,2,1,VALID,-0.0343469865620136,-0.0154473204165697,0.999290585517883,-0.0328009985387325,0.158663332462311,VALID,-0.0327496863901615,-0.00487621501088142,0.999451696872711,0.0328009985387325,0.170659482479095
204886228,0.0171563,64.9229458938353,VALID,-0.0338416770100594,-0.010347917675972,0.999373614788055,0,2,1,VALID,-0.0350075140595436,-0.0157348625361919,0.999263167381287,-0.0328009985387325,0.160216391086578,VALID,-0.0326748117804527,-0.00496065942570567,0.999453723430634,0.0328009985387325,0.170519784092903
204886230,0.0187608,64.9417066941969,VALID,-0.0342514999210835,-0.0107493428513408,0.999355435371399,0,2,1,VALID,-0.0349092893302441,-0.0158234015107155,0.999265193939209,-0.0328009985387325,0.158417746424675,VALID,-0.0335928089916706,-0.00567500293254852,0.999419510364532,0.0328009985387325,0.170775756239891
204886232,0.0179014,64.9596080943011,VALID,-0.0340916775166988,-0.010935690253973,0.999358892440796,0,2,1,VALID,-0.034624133259058,-0.0161298848688602,0.999270260334015,-0.0328009985387325,0.157948926091194,VALID,-0.0335582979023457,-0.00574119621887803,0.999420285224915,0.0328009985387325,0.171754106879234
204886234,0.0193353,64.9789433940314,VALID,-0.0340757891535759,-0.0114931985735893,0.999353170394897,0,2,1,VALID,-0.0347496196627617,-0.0171093624085188,0.999249577522278,-0.0328009985387325,0.158055618405342,VALID,-0.0334008671343327,-0.00587666733190417,0.999424755573273,0.0328009985387325,0.172043070197105
204886236,0.0191393,64.9980826932006,VALID,-0.0351621583104134,-0.0114702638238668,0.999315798282623,0,2,1,VALID,-0.0359626561403275,-0.0171467047184706,0.999206006526947,-0.0328009985387325,0.159580707550049,VALID,-0.0343605019152164,-0.00579344527795911,0.999392688274384,0.0328009985387325,0.173985302448273
204886238,0.0204825,65.018565192353,VALID,-0.0357795059680939,-0.0116466954350472,0.999291837215424,0,2,1,VALID,-0.0367465503513813,-0.0176349431276321,0.999168992042542,-0.0328009985387325,0.158921584486961,VALID,-0.0348111465573311,-0.00565801886841655,0.999377906322479,0.0328009985387325,0.173136621713638
204886240,0.0236018,65.0421669925563,VALID,-0.0359462052583694,-0.0116807641461492,0.999285459518433,0,2,1,VALID,-0.0364892408251762,-0.017846493050456,0.999174654483795,-0.0328009985387325,0.158645525574684,VALID,-0.0354017913341522,-0.00551458727568388,0.999357938766479,0.0328009985387325,0.172913685441017
204886242,0.0178002,65.0599671932869,VALID,-0.0361730717122555,-0.0115149011835456,0.999279201030731,0,2,1,VALID,-0.0357739925384521,-0.0177340004593134,0.99920254945755,-0.0328009985387325,0.158228769898415,VALID,-0.036570742726326,-0.00529535347595811,0.999317049980164,0.0328009985387325,0.171607360243797
204886245,0.0213711,65.0813382933848,VALID,-0.0344172790646553,-0.00996778067201376,0.99935781955719,0,2,1,VALID,-0.0322227068245411,-0.0160715579986572,0.999351501464844,-0.0328009985387325,0.157060846686363,VALID,-0.0366104021668434,-0.00386358355171978,0.999322116374969,0.0328009985387325,0.170552477240562
204886247,0.0218831,65.103221393656,VALID,-0.0338033474981785,-0.00852415524423122,0.999392151832581,0,2,1,VALID,-0.0304010603576899,-0.0145523948594928,0.999431848526001,-0.0328009985387325,0.156535506248474,VALID,-0.0372040122747421,-0.0024955072440207,0.999304592609406,0.0328009985387325,0.171047747135162
204886249,0.0269914,65.1302127945237,VALID,-0.0343863405287266,-0.00716053321957588,0.999382972717285,0,2,1,VALID,-0.0294218212366104,-0.0125183677300811,0.999488711357117,-0.0328009985387325,0.156573280692101,VALID,-0.0393490232527256,-0.00180231605190784,0.99922388792038,0.0328009985387325,0.170211896300316
204886252,0.0193238,65.1495365942828,VALID,-0.0345160327851772,-0.00572838913649321,0.999387741088867,0,2,1,VALID,-0.0279027968645096,-0.0108056534081697,0.999552249908447,-0.0328009985387325,0.156561121344566,VALID,-0.0411268696188927,-0.000650726782623678,0.999153733253479,0.0328009985387325,0.1704141497612
204886254,0.0246409,65.1741774934344,VALID,-0.0349917188286781,-0.00605238880962133,0.999369263648987,0,2,1,VALID,-0.025557292625308,-0.0109134363010526,0.999613761901855,-0.0328009985387325,0.155224338173866,VALID,-0.0444222018122673,-0.0011906586587429,0.999012112617493,0.0328009985387325,0.169774323701859
204886257,0.0266063,65.2007837942801,VALID,-0.0340516641736031,-0.00445300480350852,0.999410152435303,0,2,1,VALID,-0.020329175516963,-0.00836463086307049,0.999758362770081,-0.0328009985387325,0.15271307528019,VALID,-0.0477672144770622,-0.000540471461135894,0.998858332633972,0.0328009985387325,0.169867888092995
204886260,0.0257148,65.2264985940419,VALID,-0.0332262068986893,-0.00252831657417119,0.999444663524628,0,2,1,VALID,-0.0171800889074802,-0.00685948086902499,0.99982887506485,-0.0328009985387325,0.151934951543808,VALID,-0.0492631383240223,0.00180354644544423,0.998784184455872,0.0328009985387325,0.165942460298538
204886262,0.0272597,65.2537582940422,VALID,0.00061807973543182,-0.0049318834207952,0.999987661838531,0,2,0.597749888896942,VALID,0.0186763405799866,-0.00849826168268919,0.999789476394653,-0.0328009985387325,0.149365201592445,VALID,-0.0174403917044401,-0.00136383413337171,0.999846994876862,0.0328009985387325,0.170036450028419
204886266,0.0293928,65.2831510934047,VALID,0.0916763246059418,-0.0286732446402311,0.99537593126297,0,1.02732300758362,0,VALID,0.123269647359848,-0.0289604999125004,0.991950571537018,-0.0328009985387325,0.14695331454277,VALID,0.0599904134869576,-0.0283570289611816,0.997796058654785,0.0328009985387325,0.16606779396534
204886269,0.0306746,65.3138256925158,VALID,0.101018324494362,-0.0382211208343506,0.994150102138519,0,0.918692052364349,0,VALID,0.136268958449364,-0.0383920259773731,0.989927709102631,-0.0328009985387325,0.147879883646965,VALID,0.0656403675675392,-0.0380020439624786,0.997119426727295,0.0328009985387325,0.164469882845879
204886272,0.0324732,65.3462988915853,VALID,0.10018490254879,-0.0404879376292229,0.99414473772049,0,0.832092881202698,0,VALID,0.139030888676643,-0.0386223122477531,0.989534616470337,-0.0328009985387325,0.144327431917191,VALID,0.0611852668225765,-0.0422914586961269,0.997230052947998,0.0328009985387325,0.162492781877518
204886276,0.0350308,65.3813296924345,VALID,0.100628867745399,-0.0387883931398392,0.994167625904083,0,0.82729572057724,0,VALID,0.139711529016495,-0.037119697779417,0.989496231079102,-0.0328009985387325,0.143935903906822,VALID,0.0613900274038315,-0.0403968878090382,0.997296035289764,0.0328009985387325,0.162501573562622
204886280,0.0361466,65.4174762922339,VALID,0.100215002894402,-0.0376310348510742,0.994253933429718,0,0.808845818042755,0,VALID,0.140156343579292,-0.035537987947464,0.989491403102875,-0.0328009985387325,0.143054023385048,VALID,0.0601110756397247,-0.0396630316972733,0.997403383255005,0.0328009985387325,0.159810230135918
