Frame,DeltaTime,Time,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
15434327,0.0206256,80.7740998696536,VALID,-0.00217074900865555,0.0113513115793467,0.999933242797852,0,2,0.468091249465942,VALID,-0.00506690517067909,0.000119392534543294,0.999987185001373,-0.0308263506740332,0.19985243678093,VALID,0.000725699181202799,0.0225817039608955,0.999744713306427,0.0308263506740332,0.174978539347649
15434331,0.0303519,80.8044517692178,VALID,0.00365894613787532,0.0153781622648239,0.999875068664551,0,2,0.427168846130371,VALID,0.0042340774089098,0.0102772079408169,0.999938249588013,-0.0308263506740332,0.198504462838173,VALID,0.00308371800929308,0.0204787123948336,0.999785542488098,0.0308263506740332,0.174199476838112
15434335,0.0319231,80.8363748695701,VALID,0.00851268135011196,0.019494978711009,0.999773740768433,0,2,0.442767024040222,VALID,0.0105733266100287,0.0151253798976541,0.999829709529877,-0.0308263506740332,0.196718320250511,VALID,0.00645183771848679,0.023864122107625,0.999694406986237,0.0308263506740332,0.173243299126625
15434339,0.0384234,80.8747982699424,VALID,0.0137822423130274,0.0225956216454506,0.999649703502655,0,2,0.411655396223068,VALID,0.018205052241683,0.0170677211135626,0.999688565731049,-0.0308263506740332,0.195377007126808,VALID,0.00935874227434397,0.0281223896890879,0.999560654163361,0.0308263506740332,0.173996344208717
15434344,0.0473939,80.9221921693534,VALID,0.0215892791748047,0.0274458955973387,0.999390125274658,0,2,0.751134276390076,VALID,0.0267771892249584,0.0214677751064301,0.99941086769104,-0.0308263506740332,0.197027042508125,VALID,0.0164000168442726,0.0334222987294197,0.999306738376617,0.0308263506740332,0.173928126692772
15434350,0.0469667,80.9691588710994,VALID,0.0246208216995001,0.0360890254378319,0.999045252799988,0,2,0.798650801181793,VALID,0.0313487760722637,0.0319063998758793,0.998999118804932,-0.0308263506740332,0.197325557470322,VALID,0.0178913213312626,0.040269386023283,0.99902868270874,0.0308263506740332,0.173231840133667
15434358,0.0602514,81.029410270974,VALID,-0.00309226079843938,0.111225254833698,0.9937903881073,-0.0308263506740332,2,0,VALID,-0.00309226079843938,0.111225254833698,0.9937903881073,-0.0308263506740332,0.197014436125755,INVALID,,,,,
15434367,0.0772757,81.1066859718412,VALID,-0.0999165028333664,0.168178126215935,0.980679750442505,0,0.849738299846649,0,VALID,-0.0639613717794418,0.168424993753433,0.983637094497681,-0.0308263506740332,0.2025136500597,VALID,-0.135741576552391,0.167712360620499,0.976445972919464,0.0308263506740332,0.177985727787018
0,0.096519,81.2032049726695,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
15434387,0.1029222,81.3061271738261,VALID,-0.106115557253361,-0.199668750166893,0.974100530147552,0,0.785991191864014,0,VALID,-0.0713013783097267,-0.21190533041954,0.974685728549957,-0.0308263506740332,0.221002668142319,VALID,-0.140785202383995,-0.187160193920136,0.972188532352448,0.0308263506740332,0.184998139739037
15434397,0.0982488,81.4043759759516,VALID,-0.0816115587949753,-0.198775723576546,0.976641058921814,0,1.03948891162872,0,VALID,-0.0521642528474331,-0.200141072273254,0.978377461433411,-0.0308263506740332,0.223819091916084,VALID,-0.110987700521946,-0.19723704457283,0.974053025245667,0.0308263506740332,0.188208520412445
15434407,0.1019404,81.50631637685,VALID,-0.0366112291812897,-0.157837852835655,0.986786127090454,0,2,0,VALID,-0.0120734609663486,-0.155366718769073,0.987783074378967,-0.0308263506740332,0.218867495656013,VALID,-0.0611266940832138,-0.160212859511375,0.985188007354736,0.0308263506740332,0.187662392854691
0,0.1017648,81.6080811750144,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
15434418,0.0991972,81.7072783764452,VALID,-0.0274201314896345,-0.250997096300125,0.967599391937256,-0.0308263506740332,2,0,VALID,-0.0274201314896345,-0.250997096300125,0.967599391937256,-0.0308263506740332,0.231101110577583,INVALID,,,,,
15434420,0.0094468,81.7167251762003,VALID,-0.0971110388636589,-0.36933222413063,0.924209475517273,-0.0308263506740332,2,0,VALID,-0.0971110388636589,-0.36933222413063,0.924209475517273,-0.0308263506740332,0.232683211565018,INVALID,,,,,
0,0.0171844,81.7339095771313,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
15434424,0.0164748,81.7503843773156,VALID,-0.120797544717789,-0.381854295730591,0.916294276714325,-0.0308263506740332,2,0,VALID,-0.120797544717789,-0.381854295730591,0.916294276714325,-0.0308263506740332,0.227498233318329,INVALID,,,,,
15434425,0.0231143,81.7734986767173,VALID,-0.119506552815437,-0.37814536690712,0.918000161647797,-0.0308263506740332,2,0,VALID,-0.119506552815437,-0.37814536690712,0.918000161647797,-0.0308263506740332,0.228133663535118,INVALID,,,,,
15434427,0.0120699,81.7855685763061,VALID,-0.0787342041730881,-0.271288961172104,0.959272265434265,0,2,0,VALID,-0.111067995429039,-0.374006122350693,0.920751512050629,-0.0308263506740332,0.23160295188427,VALID,-0.0453705564141274,-0.165023282170296,0.985245585441589,0.0308263506740332,0.196990758180618
15434429,0.0177194,81.8032879754901,VALID,-0.0854660496115685,-0.314147293567657,0.94551944732666,0,2,0,VALID,-0.102463744580746,-0.36655929684639,0.924735367298126,-0.0308263506740332,0.228673741221428,VALID,-0.068171963095665,-0.260645836591721,0.96302455663681,0.0308263506740332,0.206089690327644
15434431,0.0155277,81.8188156755641,VALID,-0.0900217220187187,-0.341582328081131,0.935530662536621,0,2,0,VALID,-0.0854534208774567,-0.362869411706924,0.927913546562195,-0.0308263506740332,0.232072860002518,VALID,-0.0945421308279037,-0.32011353969574,0.942650020122528,0.0308263506740332,0.209265142679214
15434432,0.0172663,81.8360819751397,VALID,-0.0899957194924355,-0.342411994934082,0.93522983789444,0,2,0,VALID,-0.0737140774726868,-0.359323918819427,0.930297017097473,-0.0308263506740332,0.231191366910934,VALID,-0.106225572526455,-0.325303047895432,0.939624428749084,0.0308263506740332,0.201418697834015
15434434,0.0169371,81.8530190745369,VALID,-0.0804458186030388,-0.337286859750748,0.937958419322968,0,2,0,VALID,-0.0577751249074936,-0.343963354825974,0.937203943729401,-0.0308263506740332,0.230177208781242,VALID,-0.103071540594101,-0.330421775579453,0.938188552856445,0.0308263506740332,0.207516968250275
15434436,0.020607,81.8736260747537,VALID,-0.0719653144478798,-0.330539017915726,0.941044628620148,0,1.04711747169495,0,VALID,-0.0426988154649735,-0.332101315259933,0.942276775836945,-0.0308263506740332,0.231388777494431,VALID,-0.101169891655445,-0.328692317008972,0.939002692699432,0.0308263506740332,0.199589267373085
15434438,0.0151166,81.8887426750734,VALID,-0.0641612261533737,-0.322854220867157,0.944271385669708,0,0.927770018577576,0,VALID,-0.0311885122209787,-0.321372330188751,0.946439146995544,-0.0308263506740332,0.230571612715721,VALID,-0.0970637425780296,-0.323982864618301,0.94107049703598,0.0308263506740332,0.205891981720924
15434440,0.0177378,81.9064804753289,VALID,-0.056279145181179,-0.31944727897644,0.945931315422058,0,0.790772080421448,0,VALID,-0.0207845568656921,-0.309483170509338,0.950677752494812,-0.0308263506740332,0.229539826512337,VALID,-0.0916959717869759,-0.328970044851303,0.939877927303314,0.0308263506740332,0.203413069248199
15434441,0.018907,81.9253874747083,VALID,-0.0528489798307419,-0.313784450292587,0.948022305965424,0,0.738669216632843,0,VALID,-0.0167887657880783,-0.300689101219177,0.953574419021606,-0.0308263506740332,0.222315445542336,VALID,-0.0888297781348228,-0.326408267021179,0.941045641899109,0.0308263506740332,0.205018028616905
15434442,0.0138644,81.9392518745735,VALID,-0.0147725390270352,-0.295057356357574,0.955365359783173,-0.0308263506740332,2,0,VALID,-0.0147725390270352,-0.295057356357574,0.955365359783173,-0.0308263506740332,0.223951399326324,INVALID,,,,,
15434444,0.0166116,81.9558634748682,VALID,-0.00891706161201,-0.290360540151596,0.956875801086426,-0.0308263506740332,2,0,VALID,-0.00891706161201,-0.290360540151596,0.956875801086426,-0.0308263506740332,0.226258650422096,INVALID,,,,,
