Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
17740797,0.0096286,1178.63160697231,3.000,0.000,0.000,False
17740798,0.013295,1178.64490197273,3.000,0.000,0.000,False
17740801,0.0168577,1178.66175967315,3.000,0.000,0.000,False
17740802,0.0209502,1178.68270987319,3.000,0.000,0.000,False
17740804,0.0140929,1178.69680277305,3.000,0.000,0.000,False
17740805,0.0172005,1178.71400327282,3.000,0.000,0.000,False
17740807,0.017361,1178.731364273,3.000,0.000,0.000,False
17740809,0.0178051,1178.74916937249,3.000,0.000,0.000,False
17740811,0.0187276,1178.76789697306,3.000,0.000,0.000,False
17740813,0.0188378,1178.78673477331,3.000,0.000,0.000,False
17740815,0.018656,1178.80539077381,3.000,0.000,0.000,False
17740817,0.0205041,1178.82589487405,3.000,0.000,0.000,False
17740819,0.0233965,1178.84929137351,3.000,0.000,0.000,False
17740821,0.018477,1178.86776837381,3.000,0.000,0.000,False
17740823,0.0195293,1178.88729767362,3.000,0.000,0.000,False
17740825,0.0225019,1178.90979957441,3.000,0.000,0.000,False
17740828,0.0213509,1178.93115047412,3.000,0.000,0.000,False
17740830,0.0227115,1178.95386197465,3.000,0.000,0.000,False
17740832,0.0233884,1178.97725037532,3.000,0.000,0.000,False
17740835,0.0238151,1179.00106547447,3.000,0.000,0.000,False
17740837,0.0249511,1179.02601657482,3.000,0.000,0.000,False
17740840,0.025863,1179.05187957408,3.000,0.000,0.000,False
17740843,0.0267966,1179.07867617393,3.000,0.000,0.000,False
17740846,0.0273864,1179.10606257478,3.000,0.000,0.000,False
17740849,0.0286918,1179.13475437509,3.000,0.000,0.000,False
17740852,0.0315668,1179.16632117378,3.000,0.000,0.000,False
17740856,0.0325065,1179.19882767322,3.000,0.000,0.000,False
17740860,0.0361454,1179.23497307347,3.000,0.000,0.000,False
17740864,0.0381215,1179.27309457259,3.000,0.000,0.000,False
17740868,0.0426363,1179.31573087396,3.000,0.000,0.000,False
0,0.0471539,1179.36288477527,3.000,0.000,0.000,False
17740881,0.0546249,1179.41750967549,3.000,0.000,0.000,False
17740890,0.0671183,1179.48462797748,3.000,0.000,0.000,False
17740900,0.0908153,1179.57544327574,3.000,0.000,0.000,False
17740902,0.1013436,1179.67678687768,3.000,0.000,0.000,False
17740904,0.0227841,1179.69957097853,3.000,0.000,0.000,False
17740905,0.0165359,1179.71610687906,3.000,0.000,0.000,False
17740907,0.0181318,1179.73423867906,3.000,0.000,0.000,False
17740909,0.0158637,1179.75010237889,3.000,0.000,0.000,False
17740910,0.0163429,1179.76644527959,3.000,0.000,0.000,False
17740912,0.0167332,1179.78317847895,3.000,0.000,0.000,False
17740914,0.0171991,1179.80037757987,3.000,0.000,0.000,False
17740915,0.0167762,1179.81715378026,3.000,0.000,0.000,False
17740917,0.0161727,1179.83332647989,3.000,0.000,0.000,False
17740919,0.0166381,1179.84996458003,3.000,0.000,0.000,False
17740920,0.0164506,1179.86641518073,3.000,0.000,0.000,False
17740922,0.0167819,1179.88319708081,3.000,0.000,0.000,False
17740924,0.0184438,1179.90164088132,3.000,0.000,0.000,False
17740925,0.0152369,1179.91687778151,3.000,0.000,0.000,False
17740927,0.0168758,1179.93375358125,3.000,0.000,0.000,False
17740929,0.0171449,1179.95089848107,3.000,0.000,0.000,False
17740930,0.0161727,1179.9670711807,3.000,0.000,0.000,False
17740932,0.0165542,1179.98362537986,3.000,0.000,0.000,False
17740934,0.0168129,1180.00043827994,3.000,0.000,0.000,False
17740936,0.0171771,1180.0176153793,3.000,0.000,0.000,False
17740937,0.0170192,1180.03463457851,3.000,0.000,0.000,False
17740939,0.0163158,1180.05095037771,3.000,0.000,0.000,False
17740941,0.016726,1180.06767637795,3.000,0.000,0.000,False
17740942,0.0168074,1180.08448377764,3.000,0.000,0.000,False
17740944,0.0166705,1180.1011542785,3.000,0.000,0.000,False
0,0.0168168,1180.11797107896,3.000,0.000,0.000,False
17740947,0.01691,1180.13488107873,3.000,0.000,0.000,False
17740949,0.0155912,1180.15047227917,3.000,0.000,0.000,False
17740951,0.0168846,1180.16735687992,3.000,0.000,0.000,False
17740952,0.0174399,1180.18479677988,3.000,0.000,0.000,False
17740954,0.0169396,1180.20173638081,3.000,0.000,0.000,False
17740956,0.0167812,1180.21851758054,3.000,0.000,0.000,False
