spawn,completion_time,reaction_time,spawn_location,spawn_difficulty,input_length,max_velocity,max_acceleration,max_jerk
1,0.849072000899923,0.3096447,-0.1,1,0.248372646454587,0.836344624342331,4.65334104617016,37.1246478023442
2,0.850121001700018,0.24928,-0.1,1,0.238785551769261,0.70511939727155,4.33638283951797,48.4184353670195
3,0.831424801599951,0.2125983,-0.1,1,0.261143077965866,0.704291094873975,4.2190229934316,45.5890640038847
4,1.69939539730012,0.5102291,0.3,3,0.50899230579376,0.634322637010627,5.16913363528195,176.229154749412
5,0.935584195899992,0.3110072,0.3,3,0.294759439649042,0.777620998673551,4.65881079239098,40.1018398877323
6,1.00465679820013,0.2945922,-0.3,3,0.343032967564463,0.843808151146002,5.63000791386015,59.162854534094
7,1.06527859710013,0.3189915,0.3,3,0.271944422965809,0.648861260490586,4.52453027543875,53.1113780281652
8,0.875544497700048,0.1979345,-0.3,3,0.316641617338019,0.901161108013226,5.86801254315997,61.7753747088439
9,0.903073695500098,0.2657643,-0.3,3,0.295192701778164,0.810680167788476,4.81522526486245,43.6478861127886
10,0.807459295800072,0.2503506,0.1,1,0.218923658876606,0.63487376984107,4.50788199816152,44.7577090357424
11,1.50727530379982,0.3797285,0.3,3,0.304681547490693,0.676226192234484,4.51753283867607,44.6734097984483
12,0.773314702300013,0.2496663,-0.2,2,0.251283422799568,0.820900617939179,5.52737054387501,61.3639664415939
13,0.853296303200068,0.2647236,-0.3,3,0.265517553339177,0.763108866938573,5.35109192359622,51.1594953763584
14,0.818874592900102,0.2487301,-0.2,2,0.25424562795386,0.795785683436834,5.27010957277929,54.4943571422929
15,0.887053998599868,0.2332021,-0.2,2,0.293416281729438,0.88293032910982,5.76961153240906,46.0935957852957
16,1.9121509027002,0.2609942,0.3,3,0.633861054858055,0.710251031948393,4.71656979583186,135.765753112569
17,0.903728798999964,0.1991782,0.2,2,0.245087276112367,0.563897426138972,4.14692464705001,45.3290246545343
18,1.04698319919999,0.3611973,0.3,3,0.288832166538726,0.670249415229601,4.56459807343195,59.6785413780074
19,0.828004693600178,0.2501428,-0.1,1,0.224409548056383,0.660931916595684,4.77214505666831,55.3490173489002
20,0.79840770450005,0.2508422,-0.1,1,0.243913986021241,0.743301100104159,4.47548891968569,40.2739500280942
21,0.78689149959996,0.2402114,-0.2,2,0.262043454737744,0.811140900461855,5.36388206624284,72.7453121211078
22,0.900680201999876,0.2454269,-0.3,3,0.303715743846082,0.918756440048237,6.88709870407467,76.9342108766476
23,0.784744707900018,0.168657,0.1,1,0.22310485639279,0.612463275291645,3.2721633620966,21.5666761861536
24,0.985447498999974,0.2591074,0.2,2,0.25075782980861,0.519999717252677,3.63250107768781,33.1886716237165
25,0.856025000099862,0.2229185,-0.3,3,0.291196252008003,0.771284048596789,4.63070856625168,40.1500664168672
26,0.847089703200027,0.2484048,-0.2,2,0.256220556706479,0.805989611039929,5.09303132326668,40.8886645589092
27,1.02892329830001,0.2846803,0.2,2,0.254510928553877,0.611025937781805,4.09580014121408,39.6338804894823
28,0.86427619580013,0.2331932,0.2,2,0.244029998659463,0.66810327228013,3.85739006858578,43.6624907200481
29,0.867511401000002,0.2502392,0.2,2,0.257044223856284,0.638943922357949,3.22374493112939,27.5971346052195
30,0.820311000099991,0.2499903,-0.2,2,0.2938749909193,0.852214582888103,5.89145286670785,58.1986869265692
31,0.807335603999945,0.2707586,-0.2,2,0.281872552769506,0.935989331611488,6.30522059531993,51.8664449140553
32,0.788239498599978,0.2560467,-0.2,2,0.266652726816653,0.924334757053782,7.016768070998,67.2901142932786
33,0.898891400099956,0.2984757,-0.3,3,0.283664376496987,0.915472338271838,7.41253053282907,90.9022421673104
34,0.920322794399908,0.2291638,-0.2,2,0.26472691974742,0.792985288919364,5.40396711195602,54.4701997334039
35,1.75304339319996,0.2307194,-0.3,3,0.498014600876864,0.841715963147687,6.58245859507612,163.32571644249
36,0.859264501300004,0.2141543,-0.3,3,0.291569543757364,0.836677388680943,5.8333142966666,70.0872855636789
37,1.18336379899984,0.2530165,0.2,2,0.258061074334604,0.601758553870635,3.31669270645156,24.5062749807254
38,1.01791130569995,0.3059289,0.2,2,0.264961139690383,0.638782333146955,3.94232930638435,34.7674136354668
39,0.79579690380001,0.2321376,-0.3,3,0.301267099737762,0.898119201936054,6.83823387589053,88.5700788276234
40,0.827731294599971,0.2816249,-0.2,2,0.261685771308645,0.880982272975102,6.24606789733222,56.0012007907789
41,0.85030939989997,0.2342923,-0.3,3,0.311426917492401,0.942742286017264,6.48495003174782,60.5713850044043
42,1.7183665046,0.2734031,0.2,2,0.485093486478333,0.622034603064338,4.43425918152539,99.7287553242606
43,0.872538701599979,0.2819352,-0.3,3,0.299663959812575,0.976248038600273,6.97982357614524,78.9896571035963
44,1.93280949769996,0.2766561,0.3,3,0.473331670310029,0.689225170806082,5.11811918136186,82.4507328852541
45,0.782388199199886,0.2361271,-0.1,1,0.256703821462248,0.833909740399646,6.01553334503013,70.318906406355
46,0.87765859490014,0.2497482,-0.3,3,0.35330134625268,1.18295331172945,8.25996174173377,80.0497763061141
47,0.863319101699972,0.2379917,-0.2,2,0.309460148994526,0.998393686476141,6.82539843402386,53.8122866990552
48,0.868398899199974,0.2418498,-0.3,3,0.3196727262205,1.06720599314951,7.96346181874667,77.20567451489
49,1.11730280050006,0.3017407,0.3,3,0.291888329287756,0.745183433934023,4.64950102605745,48.5417627097815
50,0.768179796699997,0.2322193,-0.2,2,0.263922319759264,0.910814157866311,7.2847935168324,77.8235091733008
51,0.849899197500008,0.2497205,-0.2,2,0.279790690122753,0.994163607909117,6.26482872707131,60.7261275234232
52,0.833240302300055,0.245076,0.1,1,0.229484174564651,0.644837287345694,3.94840352269081,32.4385912699373
53,1.48796649459996,0.3132666,-0.2,2,0.382912779627139,0.749806824881857,4.91561116260915,125.132081337734
54,0.974316601699911,0.2456942,0.2,2,0.261116891976897,0.588963305460334,3.61923677097352,30.307366965552
55,2.41524039909996,0.3008875,0.2,2,0.486668308583609,0.629175646143294,4.68535207337278,69.7505841799991
56,0.868032094100045,0.2440821,-0.2,2,0.290874861801477,0.85411551629682,6.30537431797004,67.4658886331975
57,0.865351297899906,0.266932,0.2,2,0.264797612198547,0.72487549465015,5.30089718754697,58.8416526991598
58,0.766986601000099,0.1486622,0.1,1,0.232052651695196,0.708206754704416,3.38654518840957,29.7545549369428
59,1.06321830020011,0.3129382,-0.3,3,0.317408443507443,0.965914207091276,6.24700657314875,82.77358756085
60,0.865947703900019,0.2983758,-0.2,2,0.299548234556891,0.99984894775776,7.18367249829906,66.6660374253613
61,0.786166098899912,0.2500309,-0.1,1,0.26806886254468,0.856101117590678,5.92266635679951,57.1900972421316
62,0.862276797100094,0.2998162,-0.1,1,0.245867445000704,0.861650903475098,7.19404206106929,79.3122433170293
63,0.879049301100167,0.3221611,-0.1,1,0.252164727636379,0.829399276637366,5.29404045264698,48.0090300765335
64,1.42864460119995,0.3678274,0.3,3,0.321518460537964,0.75864517160511,4.76921455558206,60.6393878299577
65,1.03251999899999,0.2781488,0.1,1,0.234109215585731,0.596770046482462,4.28873931986135,43.6672557900483
66,0.949523495899939,0.3170593,-0.3,3,0.322459985966625,1.17076394680844,8.09622145007076,76.5339910489602
67,1.55623229830007,0.3336486,0.2,2,0.309281396186743,0.736967996850415,5.73079199513569,59.4280784651339
68,1.50505699869996,0.2858471,0.1,1,0.297877095932602,0.697661452770969,5.15333010544026,64.349082907724
69,0.843832901699898,0.2813512,-0.3,3,0.326765637372192,1.19955255186034,8.53796722967146,83.6341587844918
70,0.773426001900134,0.2592098,-0.1,1,0.265322507395123,0.950679773427109,7.00490230691138,71.1228627335095
71,0.844099591000031,0.2632237,0.2,2,0.262644165132526,0.755811426959696,5.58578651223924,58.3063125244405
72,0.886605298599989,0.2924297,0.2,2,0.284275801673106,0.889959928434697,5.67317309923669,48.2992082181347
73,0.790914695699939,0.3013257,-0.1,1,0.257345869532517,0.915863872828526,6.86737859974957,75.838215555328
74,0.863723702199877,0.2836243,0.2,2,0.267425532505468,0.806961573479641,5.90111394506026,60.6531463342859
75,0.831083701000125,0.2805697,0.1,1,0.222593050527672,0.748974459358454,5.79298365246945,58.1122968996115
76,1.01693999960003,0.2859724,0.3,3,0.299844818644099,0.82896145174114,5.22315667974862,62.900910546138
77,0.929258395000033,0.3285352,0.1,1,0.246342938996138,0.794390160105056,5.164893217757,66.1937453181797
78,0.936894308400042,0.240104,0.3,3,0.304835538615545,0.865676598971281,5.11559962094239,39.401873232777
79,1.55471999750011,0.3344695,0.1,1,0.514278215659529,0.879894292137195,5.81484930714311,122.192250393036
80,0.88464280309995,0.2841114,-0.1,1,0.272302219763044,1.00042937509701,7.8804130581071,82.1831284005284
81,0.978190704300005,0.3776442,0.3,3,0.329283585380838,1.04639682765978,6.46996991767866,58.2598988742021
82,1.10358679670003,0.5643452,-0.1,1,0.259658448666285,0.801362603461856,4.24326182458101,54.0474288773658
83,0.9054946965,0.2496138,-0.3,3,0.318007121081331,0.979048464622134,6.67062329339402,68.0061894781525
84,0.831807500600007,0.2449034,-0.2,2,0.317985903423166,0.987101059644942,6.98476690880081,79.9501166575635
85,0.866139800299834,0.1477702,0.2,2,0.293125338137437,0.906242352059402,5.63650174325742,57.3404885860913
86,0.814407900900051,0.2807803,0.1,1,0.251702181353195,0.785677290836016,5.37198378208589,64.2260352898942
87,0.831264600099985,0.2740561,0.2,2,0.281213493260181,0.854494370427045,5.52675928432276,53.9697706040246
88,0.800542696399816,0.2500686,-0.1,1,0.275841750895535,0.921288990666353,6.35171408391561,74.5070003837086
89,1.03857219780002,0.3022622,0.3,3,0.330051679349537,0.924908563134583,6.16710557063533,66.0413639148771
