spawn,completion_time,reaction_time,spawn_location,spawn_difficulty,input_length,max_velocity,max_acceleration,max_jerk
1,1.04655960155708,0.2359218,0.3,3,0.235950569708856,0.459012346181453,2.38662857390285,28.4692911312238
2,0.829891405068906,0.1159,0.1,1,0.181916069864696,0.45826230458566,2.82328948489772,31.6907123128496
3,1.13178799673904,0.2810981,-0.1,1,0.179003704398963,0.45751668845136,3.30731954306959,32.3682701332956
4,1.00168830063194,0.232861,0.1,1,0.188590607855426,0.407765206441133,2.70131206996042,24.6593674081338
5,0.997615498490973,0.2636655,-0.3,3,0.268771707124254,0.567424232508232,2.93859387496279,29.9477727227627
6,0.901923999189989,0.2039531,0.2,2,0.212091852200732,0.469925792818623,2.51474191858964,20.3307528612433
7,0.826492300256973,0.2677411,0.1,1,0.177093136614162,0.37715461955457,1.91116488078497,21.4334110880218
8,1.04973979573697,0.228245,0.3,3,0.257706927030593,0.413811845902173,2.87654727675701,29.3936608592585
9,0.951673902571997,0.2817221,-0.1,1,0.188360817589795,0.485604453533055,3.05388648051832,30.948389791409
10,0.916391699570909,0.2026065,-0.2,2,0.227943791800421,0.493758762604103,2.71536947851554,23.9631436728091
11,0.833865794350004,0.228073,-0.1,1,0.205869107885006,0.505863790700035,2.86290715794293,19.1117332531977
12,0.955613899040031,0.1954273,0.2,2,0.221071853045857,0.469334343624824,2.46168605263146,19.5444045471136
13,0.820221107460043,0.2668238,-0.2,2,0.204774993570323,0.459367371129624,3.18760730913241,42.1827279713474
14,0.902163406830027,0.2505746,0.3,3,0.261771728837807,0.567439457397886,2.38879604221693,16.8977460773096
15,0.667370697490014,0.2122473,-0.1,1,0.183714355926799,0.538467971285747,3.78496473625235,40.3187816786751
16,0.764873303469926,0.1863941,0.1,1,0.181170023064753,0.438476809977966,2.93967506768499,26.6221567433157
17,0.685269999319985,0.2068072,-0.1,1,0.20148615384205,0.544248994679754,3.21996794492961,30.2532445328424
18,0.81755079702009,0.2296989,-0.3,3,0.2921915678057,0.712225883557912,3.71517280976447,39.2123402985223
19,0.764342403969977,0.3043707,-0.1,1,0.203675059167723,0.492814697429898,2.27925087963793,12.3257157872587
20,0.816044398589952,0.2267978,-0.2,2,0.231219166035905,0.653798005472159,4.35703977287637,32.7471843191104
21,0.782636502749938,0.296637,0.1,1,0.183802172986513,0.458897871696459,2.76334662843788,19.9669506351965
22,0.856894509869903,0.2494817,0.3,3,0.276313776792932,0.590532341263309,4.37062072277364,48.0439600312595
23,0.784051502120064,0.2111937,-0.2,2,0.235665040591629,0.596203859371247,3.77296292732896,32.9637036764933
24,0.772374999700105,0.2292912,0.1,1,0.204830887016753,0.540509239518276,2.96144974478275,27.9245556964764
25,0.94787649717,0.2680519,0.3,3,0.282605326851384,0.580809265031015,3.16026652664491,28.6862345513115
26,0.831189096910066,0.2916641,-0.1,1,0.172277427635501,0.499225941735068,2.95640134581425,27.9026818224077
27,0.811442198240002,0.2505116,-0.2,2,0.234709158152435,0.701695871071297,4.00176941940535,45.1914947102284
28,1.23008809704015,0.2331894,0.1,1,0.23331300836783,0.446190237029762,2.3203270339068,26.6216669516902
29,1.06488320044991,0.066795,0.3,3,0.286402287872868,0.49437545022945,1.77112109112024,11.4057238152614
30,0.780172096570141,0.2122569,-0.2,2,0.218265671275109,0.538549733926527,3.30640542692235,26.5956092858657
31,0.764104698789879,0.2379238,-0.2,2,0.220376692091102,0.584719204277524,3.62662025202217,32.7390833872967
32,0.700422901659977,0.2117017,-0.2,2,0.216854330930382,0.652895522051722,3.16201002390956,26.38073148297
33,0.733038798899997,0.2144582,-0.1,1,0.191560647608528,0.538208852403287,2.99409512938576,23.1935654552301
34,0.81549509706997,0.1790537,0.2,2,0.219273722707161,0.533574487335136,2.2417029525235,20.4491916787489
35,0.780011405239975,0.181733,-0.1,1,0.194137423115058,0.506183200583132,2.73112405199121,23.4923882024427
36,0.818145903760069,0.2516269,-0.1,1,0.219527852639584,0.535198714038237,3.28609761867127,47.470004153884
37,1.55605109966996,0.2698478,0.3,3,0.314970690758208,0.550815342220064,2.52574628038704,25.7269545568539
38,0.831564898600163,0.2490551,-0.3,3,0.280406031988358,0.756185197347104,3.27480828226223,32.764791234115
39,0.933712103400012,0.1361183,0.3,3,0.267246030431124,0.523870649731784,3.07758678343904,47.2028484200612
40,0.768422910009804,0.2262801,-0.2,2,0.224509839927978,0.549852396672106,3.04946713523543,25.6412511787826
41,0.772289702199942,0.1826412,-0.1,1,0.195164437984455,0.547427263720424,3.23176059694696,29.8763109798638
42,0.934388098310137,0.2671165,0.2,2,0.24370640492516,0.498580134429437,2.28007279401147,17.5434659585414
43,0.780977403740053,0.1662922,-0.1,1,0.198324468082672,0.4279677094479,1.80008026033596,12.292746691087
44,0.855536499060008,0.2511218,0.2,2,0.23564467174589,0.518468409081355,1.64817587257655,11.1560096487262
45,0.800812096339996,0.2685252,-0.1,1,0.180878361907623,0.485800214694008,2.55904385587194,20.0647086673859
46,0.83149379863994,0.2724597,0.2,2,0.219410940285058,0.533676244876317,2.74355901722156,29.2987532330045
47,0.783761301079949,0.2119615,-0.3,3,0.24662035684189,0.635606059326117,3.89473617379209,35.6032383605643
48,0.927941401489988,0.1320617,-0.3,3,0.246123736672093,0.586185479296241,3.48124282981497,36.5491872905146
49,0.817782501689862,0.2516026,0.1,1,0.171981507026835,0.434525524955523,2.61017203376505,22.6384861263641
50,0.794422301470149,0.2818469,0.1,1,0.190426216898486,0.513146314056533,3.33828368351943,34.2414583018923
51,0.849138193759927,0.2111712,-0.3,3,0.250962210588248,0.688017625152865,3.79183851390379,33.6337919025233
52,0.75013870094017,0.2408195,0.1,1,0.202127557703788,0.531954373140332,3.14175704820295,33.8965398990145
53,0.747064602099954,0.2693958,-0.1,1,0.175124289249273,0.48579367832797,3.28986654491249,32.7030901817525
54,0.751393094659988,0.2506055,-0.1,1,0.182069961323797,0.511840689376488,3.21011357495819,34.0396085536361
55,0.749665600249955,0.2537862,-0.2,2,0.201018711409766,0.587371272787718,3.68444252778018,31.2236871303111
56,0.717427698899883,0.2767415,-0.1,1,0.189946481939479,0.645042331486794,4.21196368942395,43.3236599358154
57,0.885102600790105,0.2795438,0.3,3,0.258501777272814,0.62186013343535,3.83959735287492,37.9721421520618
58,1.0363755067799,0.2855085,-0.3,3,0.28938443640919,0.822342500151616,4.76593487085562,67.1588700735619
59,0.7795010013499,0.2556501,-0.2,2,0.230045654110328,0.698290485580676,4.03269724091785,41.9893585228954
60,0.750575900070089,0.1676041,-0.1,1,0.190947807519878,0.667448126430729,4.45892179093793,48.2250427596727
61,1.04307189769997,0.2440748,-0.3,3,0.295577276789516,0.852150221072769,5.4861449447218,81.490691484276
62,0.762682201339885,0.2848316,0.1,1,0.170313355022185,0.443907334664276,2.94747209575885,30.486208616821
63,0.844614405179982,0.2339831,-0.1,1,0.194652459121042,0.522304741651613,3.1184493618429,32.4466122915519
64,1.00390670634988,0.1015293,0.3,3,0.28853209879515,0.564978939875539,3.57334970752272,36.0917707855134
65,1.12778040067997,0.2823295,-0.3,3,0.299147410232652,0.628116032572828,4.41092199763947,57.8499656345043
66,0.894128799440068,0.2657559,-0.1,1,0.213024830566651,0.434807850595834,1.99278539730877,28.4635372231483
67,0.862961200999962,0.2698281,0.1,1,0.200980289125425,0.438856252727946,3.17731829164762,33.1507294713833
68,0.780425298960154,0.2478514,-0.1,1,0.19024618912683,0.528814259072332,2.96630713805342,29.8176079512318
69,0.93201090302,0.2189026,0.2,2,0.224534003050628,0.428190510502139,2.37946227812979,18.9253278708239
70,0.918923702090069,0.2184114,-0.3,3,0.270704508608345,0.555460867832242,2.63007619907516,31.5972874251646
71,1.11775729990995,0.2383273,0.2,2,0.225349537182162,0.343385363293639,1.68205768317215,13.9197923576355
72,1.14382720831986,0.2690161,0.3,3,0.285330190491074,0.459410227961486,1.94498899891054,16.6380761391176
73,0.784100093879943,0.2164234,-0.2,2,0.217490756205606,0.575062732009707,3.6000983974536,40.4125433211098
74,1.22750950138993,0.2508239,0.3,3,0.264878776654483,0.378882348708463,2.58741273973977,31.751435544143
75,0.969091894110079,0.2416615,0.3,3,0.271706173875364,0.482532578957551,2.59388292269637,22.0422151297448
76,0.866524200890126,0.0494301,0.1,1,0.193566802515808,0.377662234673254,2.44792253068788,23.3226843499108
77,0.961158199229885,0.2506231,-0.3,3,0.289748574945018,0.536898262890336,3.25206409264032,36.8315281878067
78,0.794567696750164,0.23358,-0.1,1,0.201034369768008,0.509891450567332,2.63124158103685,28.8758016045431
79,0.851268702179823,0.2170008,-0.3,3,0.276075684488901,0.569924112010465,3.12031460923382,32.3562855238849
80,0.916050298139908,0.2134022,-0.3,3,0.271932320349376,0.546148218303686,2.98105841850371,31.9717203720902
81,1.11555609480001,0.2326512,-0.2,2,0.226126796902855,0.559755982959164,3.68549847615663,53.5444843297553
82,0.832601697650034,0.2489516,-0.1,1,0.193182123836397,0.510420351924044,3.29367232639909,37.4365860723091
83,0.822558499869956,0.2508134,-0.2,2,0.206834047525898,0.493577926371052,3.37464100007049,25.1987029287084
84,1.00075520202995,0.0511151,0.1,1,0.208935435018841,0.373525891326666,2.05060015844293,19.1476106305848
85,0.994833200240009,0.2831491,0.2,2,0.237436437432002,0.428779456409955,2.48306064413223,24.3258265200452
86,0.930614702399907,0.2675277,-0.3,3,0.265783864505237,0.561010173054897,3.20296546088115,38.4574427452189
87,0.898468299770002,0.3405024,0.1,1,0.177633644904592,0.450693065282702,2.22045833014694,37.875255645816
88,0.851116301490038,0.2223146,0.2,2,0.209710512861004,0.437460020238567,2.14432988797037,16.2785729674885
89,0.786400499750016,0.2169337,-0.3,3,0.249709574410162,0.587515388830712,3.77022895955958,30.1295620158622
90,0.96725660190009,0.3134384,0.2,2,0.218575989701503,0.414092305666597,2.13949660214951,22.3403760754277
