Frame,DeltaTime,Time,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
7910203,0.0138813,180.577217253391,VALID,-0.0959723293781281,0.0057814852334559,0.995367228984833,0,2,0,VALID,-0.100300766527653,0.0341526158154011,0.994370818138123,-0.0306579507887363,0.157857179641724,VALID,-0.0915647447109222,-0.0225944127887487,0.995542764663696,0.0306579507887363,0.151574060320854
7910204,0.0125619,180.589779153001,VALID,-0.0954759418964386,0.0063269380480051,0.99541163444519,0,2,0,VALID,-0.0999365076422691,0.0345316268503666,0.994394421577454,-0.0306579507887363,0.158021807670593,VALID,-0.090937428176403,-0.0218829140067101,0.995616137981415,0.0306579507887363,0.152506411075592
7910206,0.0174405,180.607219652738,VALID,-0.0946071073412895,0.0074909464456141,0.995486497879028,0,2,0,VALID,-0.0993418097496033,0.0355549082159996,0.99441796541214,-0.0306579507887363,0.157821878790855,VALID,-0.0897956639528275,-0.0205790903419256,0.995747566223145,0.0306579507887363,0.153128862380981
7910208,0.0178994,180.625119052362,VALID,-0.0940057411789894,0.00787595845758915,0.995540499687195,0,2,0,VALID,-0.0988433659076691,0.0360298231244087,0.994450509548187,-0.0306579507887363,0.158553019165993,VALID,-0.0890912935137749,-0.0202843453735113,0.995816886425018,0.0306579507887363,0.153128862380981
7910210,0.0175265,180.642645552289,VALID,-0.093366950750351,0.00821201782673597,0.995597898960114,0,2,0.141884505748749,VALID,-0.0980198830366135,0.0368315391242504,0.994502663612366,-0.0306579507887363,0.157718285918236,VALID,-0.0886354148387909,-0.0204144194722176,0.995854914188385,0.0306579507887363,0.153128862380981
7910212,0.017745,180.660390551668,VALID,-0.0927396714687347,0.0091041186824441,0.995648741722107,0,2,0.774508714675903,VALID,-0.0970679596066475,0.038188960403204,0.994544804096222,-0.0306579507887363,0.155972003936768,VALID,-0.0883310884237289,-0.0199886076152325,0.995890617370605,0.0306579507887363,0.152831599116325
7910213,0.018628,180.679018551018,VALID,-0.0923015475273132,0.00937279406934977,0.995687007904053,0,2,0.902557492256165,VALID,-0.0965261980891228,0.0384847745299339,0.994586169719696,-0.0306579507887363,0.156639695167542,VALID,-0.0879969075322151,-0.0197473093867302,0.995925009250641,0.0306579507887363,0.152618810534477
7910267,0.1039904,181.228136149701,VALID,0.181652531027794,0.180966660380363,0.966567873954773,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.181652531027794,0.180966660380363,0.966567873954773,0.0306579507887363,0.143349587917328
7910269,0.0070307,181.235166849568,VALID,0.195822477340698,0.198061764240265,0.960429668426514,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.195822477340698,0.198061764240265,0.960429668426514,0.0306579507887363,0.142212107777596
7910271,0.0218776,181.257044449449,VALID,0.19780033826828,0.202088445425034,0.95918470621109,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.19780033826828,0.202088445425034,0.95918470621109,0.0306579507887363,0.139645755290985
7910273,0.0211143,181.278158748522,VALID,0.197715327143669,0.20258641242981,0.959097146987915,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.197715327143669,0.20258641242981,0.959097146987915,0.0306579507887363,0.139212340116501
7910275,0.0191583,181.297317048535,VALID,0.197496235370636,0.202253803610802,0.959212481975555,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.197496235370636,0.202253803610802,0.959212481975555,0.0306579507887363,0.13911634683609
7910277,0.0210069,181.318323949352,VALID,0.196399718523026,0.202638253569603,0.959356486797333,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.196399718523026,0.202638253569603,0.959356486797333,0.0306579507887363,0.138273626565933
7910280,0.0206583,181.338982248679,VALID,0.195396512746811,0.202654227614403,0.959557950496674,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.195396512746811,0.202654227614403,0.959557950496674,0.0306579507887363,0.136886566877365
7910282,0.0236135,181.362595748156,VALID,0.194338008761406,0.20268626511097,0.959766149520874,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.194338008761406,0.20268626511097,0.959766149520874,0.0306579507887363,0.136710584163666
7910283,0.0210083,181.38360404782,VALID,0.193900302052498,0.202592596411705,0.959874451160431,0.0306579507887363,2,0,INVALID,,,,,,VALID,0.193900302052498,0.202592596411705,0.959874451160431,0.0306579507887363,0.136140987277031
7910286,0.0239269,181.40753094852,VALID,0.192853480577469,0.202363818883896,0.96013355255127,0.0306579507887363,2,0.752388179302216,INVALID,,,,,,VALID,0.192853480577469,0.202363818883896,0.96013355255127,0.0306579507887363,0.135749265551567
